AX,AY,AZ,GX,GY,GZ
0.5034341,0.33782673,2.439874,-0.10995574,-0.42584944,0.055206947
0.5259999,1.1997042,4.1612625,-0.18020524,-0.38125628,0.041157044
0.43808746,-0.019099236,2.2655473,-0.27977628,-0.27496573,0.018555032
0.35862407,-0.79557323,1.2211673,-0.3182608,-0.18822286,0.007559457
0.31758156,0.17575073,2.5569448,-0.312763,-0.16684256,8.40E-04
0.33745825,1.7976332,5.618856,-0.26633725,-0.18089247,0.007559457
0.08223522,-0.23337746,2.2169425,-0.17715092,-0.2590832,0.021609358
0.08779782,-0.23107433,2.254626,-0.12095132,-0.30795243,0.0332158
-0.14521627,-1.1057892,0.18123332,-0.007330383,-0.40080395,0.057039544
-0.28955814,0.9694061,2.9913535,0.05009095,-0.43317983,0.071700305
-0.31909752,-0.34026337,1.7537713,0.15332718,-0.45944703,0.100410976
-0.3632561,-1.3303976,-1.0153456,0.22785273,-0.43440154,0.12484559
-0.3691361,-1.3329544,-1.0555191,0.25411993,-0.40569088,0.14256068
-0.028191179,1.2632351,4.8076878,0.28405234,-0.33483052,0.17127134
0.10329437,-2.112669,-1.6226661,0.1704314,-0.12835807,0.24701864
0.3958318,1.5520592,5.3041906,0.1704314,-0.12835807,0.24701864
0.39201456,1.5493946,5.2616816,0.13194689,-0.10819951,0.2506838
0.38667673,1.5466299,5.214519,0.13194689,-0.10819951,0.2506838
0.46089697,2.1763048,7.7742195,0.089186326,-0.08315403,0.2512947
0.46089697,2.1763048,7.7742195,0.41172317,-0.17295122,0.03810272
0.47467417,-1.7126255,-1.0057056,0.54305923,-0.20044015,0.032604933
0.4213453,-2.465951,-1.4226613,0.61269784,-0.15951219,0.023441954
0.5365131,0.8205595,3.8278053,0.61086524,-0.11980595,0.017944166
0.4855942,2.084772,6.7427015,0.55955255,-0.021456642,0.008170323
0.47306788,1.5474329,5.691632,0.44348818,0.062842764,8.40E-04
0.4155559,0.9547262,4.327896,0.35918877,0.08788824,-0.004046982
0.319023,0.98577595,4.1746225,0.16982053,0.10560333,-0.004657847
0.31615153,1.1731405,4.3315773,-0.029321533,0.090331696,-0.007101309
0.265631,0.95705605,3.668851,-0.124005646,0.06650795,-0.006490443
0.2692451,0.5049381,2.6988134,-0.36041048,-0.015958855,-0.005879578
0.260491,0.537138,2.7183535,-0.36041048,-0.015958855,-0.005879578
0.2972557,0.76403236,3.087184,-0.44898596,-0.05138904,-0.007101309
0.35141253,0.5711422,2.9985914,-0.46120325,-0.050167307,-0.009544769
0.3275053,0.2114954,2.1982045,-0.40683624,-0.010461068,-0.017486017
0.37145606,0.15727997,2.2954152,-0.3585779,0.017638734,-0.02359467
0.33347207,0.33472443,2.5977457,-0.21991149,0.078725256,-0.030925052
0.29042232,0.030674934,2.2151136,-0.14049901,0.09827295,-0.035811976
0.20220982,-0.098296165,2.1739247,0.03359759,0.1043816,-0.04314236
0.20384209,-0.100281715,2.139099,0.21868975,0.06345363,-0.04680755
0.20393883,-0.1016922,2.1137493,0.29871312,0.025579982,-0.046196684
0.20393883,-0.1016922,2.1137493,0.4428773,-0.048945576,-0.044974953
0.10933977,-0.1031189,2.5162234,0.48808134,-0.098425664,-0.044974953
0.12264992,-0.3400774,2.3912756,0.5326745,-0.13202325,-0.04680755
0.11721681,-0.21269321,2.5634253,0.552833,-0.075212784,-0.04375322
0.14208966,-0.13246441,3.0092905,0.5002986,-0.072158456,-0.044364087
0.15434445,-0.3402462,2.6924977,0.37507126,0.004810564,-0.05047274
0.12789866,-0.4484949,2.4278188,0.28405234,0.1727985,-0.046196684
0.15455285,-0.30375957,2.7754145,0.16249016,0.16913332,-0.04680755
0.10983282,-0.2608204,2.7523212,-0.028710667,0.16485725,-0.05169447
0.09795506,-0.46171474,2.301776,-0.20586158,0.16546813,-0.038255434
0.05625525,-0.4068451,2.297865,-0.20586158,0.16546813,-0.038255434
0.035344288,-0.19449234,2.4930186,-0.32803464,0.04024075,-0.04375322
0.007618368,-0.1706047,2.4543862,-0.29077184,0.07322747,-0.0388663
-0.053600073,-0.32625675,1.8705847,-0.3023783,-0.09353874,-0.038255434
-0.056132793,-0.32714367,1.8518999,-0.24678956,-0.102701716,-0.04008803
-0.07579845,-0.21355343,2.0592995,-0.12767084,-0.031230485,-0.037644573
-0.086776644,-0.27865314,1.9463779,0.01160644,-0.019013181,-0.03397938
-0.119594336,-0.31234455,2.0755854,0.1301143,-0.051999904,-0.04925101
-0.12062338,-0.31390953,2.0325353,0.27305678,0.03596469,-0.048640147
-0.1264996,-0.3149023,2.0060353,0.40622538,0.043295074,-0.040698897
-0.13023031,-0.31467342,2.0162778,0.4569272,-0.058108557,-0.04680755
-0.09192309,-0.39368248,2.2820344,0.53878313,-0.012904529,-0.039477166
-0.013096228,-0.4368763,2.3072798,0.5338962,-0.04589125,-0.022983804
0.11893004,-0.2418909,2.6009936,0.41599923,-0.15462527,-0.026648996
0.27008653,-0.12515354,2.7560458,0.40194935,-0.09476047,-0.018707749
0.4113079,-0.35680294,2.2616282,0.258396,-0.04772385,-0.002825252
0.5242995,-0.39969063,2.0162942,0.122783914,-0.0978148,-0.005879578
0.59614366,-0.14679146,2.3947845,-0.0580322,-0.019013181,-0.002214387
0.59985125,0.010925293,2.5136926,-0.19425514,0.098883815,0.009392053
0.5340861,-0.27078533,1.9431993,-0.47403142,0.05673411,0.024663685
0.44873396,-0.37842083,1.6477994,-0.49663344,-0.014737124,0.01488984
0.36823887,-0.058516502,2.1680033,-0.49663344,-0.014737124,0.01488984
0.36837798,-0.059080124,2.1397493,-0.49663344,-0.014737124,0.01488984
0.2658236,-0.13087368,2.0229309,-0.46303585,-0.032452215,0.017944166
0.24911097,-0.26998043,1.8081547,-0.3652974,0.00908662,0.025274549
0.26828796,-0.0814724,2.2364838,-0.23579398,-0.04100433,0.025885414
0.31070846,-0.13678169,2.0611265,-0.124005646,-0.11247557,0.009392053
0.29488984,-0.26098347,1.7867134,-6.11E-04,-0.0538325,0.009392053
0.30073768,-0.20840359,1.9515625,0.17165314,-0.011071933,0.010002919
0.26628625,0.22447205,2.6277525,0.23518312,-0.061773747,-0.0107665
0.26706922,0.22479343,2.654782,0.3115413,-0.004352415,-0.013209961
0.26744157,0.2252264,2.6861417,0.38973203,0.057344973,-0.013820826
0.3033546,-0.22967148,1.7859218,0.2950479,-0.04222606,-0.03397938
0.2691393,-0.7036505,0.9922131,0.2883284,0.032910366,-0.027259862
0.2368325,-1.2334232,-0.07773615,0.2321288,0.018860465,-0.02359467
0.07591535,-0.6972866,1.4698417,0.124005646,-0.05505423,-0.030314188
-0.057862997,0.10727215,3.4946132,-0.03848451,-0.0978148,-0.04008803
-0.20262015,0.05243492,3.575548,-0.1337795,-0.009850202,-0.029092457
-0.3246864,-0.71355534,2.381917,-0.23701571,-0.042836927,-0.03214678
-0.34938362,-1.436471,0.96408176,-0.47342056,0.035353824,-0.052916203
-0.35874122,-1.4368896,0.9293559,-0.47342056,0.035353824,-0.052916203
-0.4004653,0.020964622,4.1344557,-0.40683624,0.106214195,-0.044974953
-0.31327888,0.03015709,3.700964,-0.40683624,0.106214195,-0.044974953
-0.20866847,-0.32884884,2.636988,-0.33536503,0.14530957,-0.04008803
-0.046065286,-0.21802235,2.533985,-0.30665436,0.11598804,-0.041309763
0.2012918,0.3559761,2.5215077,-0.26145032,0.00786489,-0.049861874
0.495062,0.5261259,2.3560324,-0.06352998,0.04757113,-0.04680755
0.48943365,0.5279522,2.447704,-0.010995574,0.057344973,-0.040698897
0.87408996,0.31720448,0.9909096,0.014660766,-0.048334714,-0.05047274
0.92987436,0.79927635,1.4969518,0.07880162,-0.017180584,-0.04680755
0.64412326,0.72044754,1.5620657,0.16920967,0.04757113,-0.0388663
0.6775763,0.72066593,1.5113275,0.095294975,-0.038560867,-0.05169447
0.69044805,0.720603,1.453081,0.09285152,-0.012293663,-0.05047274
0.47736412,0.21542645,0.5576497,0.08674286,0.077503525,-0.038255434
0.29986295,0.05027294,0.9961083,-0.059253927,-0.028176159,-0.04375322
0.04683745,0.045635223,1.7280344,-0.09712757,-0.031841353,-0.04008803
-0.16870472,-0.3103199,1.8776059,-0.11789699,0.035353824,-0.024205536
-0.36825085,-0.52243614,2.3120832,-0.25717425,-0.06421721,-0.026648996
-0.5463418,-0.7638321,2.510895,-0.29077184,-0.058719423,-0.02115121
-0.64582825,-1.1349096,2.200787,-0.17592919,0.12942708,-0.007712174
-0.66937816,-1.1640224,2.4948225,-0.18753563,0.049403727,-0.012599096
-0.5765818,-1.0664673,2.7699955,-0.16065755,0.005421429,-0.019929478
-0.60275346,-1.0673018,2.777474,-0.16065755,0.005421429,-0.019929478
-0.35248014,-0.81251526,3.1257226,-0.16065755,0.005421429,-0.019929478
-0.37221476,-0.81372356,3.1878848,-0.16065755,0.005421429,-0.019929478
0.40806672,-0.63230896,2.5546396,0.017104227,0.065897085,-0.0107665
1.3448608,0.13600159,2.14568,0.073303826,0.048181996,-0.010155635
1.3430736,0.13591194,2.1914194,0.09712757,-0.06971499,-0.024816401
2.022275,0.49037075,1.1852473,0.24740042,0.02985604,-0.021762075
2.147336,0.8663883,1.4899458,0.2773328,0.050014593,-0.022372939
2.0518277,1.0775719,1.9915911,0.22540927,-0.019013181,-0.035811976
0.9737191,-0.012831688,0.5977356,0.22174409,0.003588833,-0.0388663
1.052263,-0.009114265,0.50248307,0.22968534,0.10804679,-0.032757647
0.7006217,0.16268444,1.091604,0.07574729,0.005421429,-0.04680755
0.37335488,0.40325737,2.1433196,0.014660766,-0.01656972,-0.046196684
0.12521425,0.0831213,1.8710465,-0.03726278,0.03352123,-0.035811976
-0.1611498,-0.701869,0.99295187,-0.20769419,-0.10514518,-0.037644573
